Date,Open,High,Low,Close,Adj Close,Volume
2018-04-12,32.81999969482422,33.150001525878906,32.30500030517578,32.45000076293945,29.105852127075195,849837
2018-04-13,32.540000915527344,32.71500015258789,32.22999954223633,32.529998779296875,29.177602767944336,505986
2018-04-16,32.66999816894531,33.04999923706055,32.349998474121094,32.58000183105469,29.222454071044922,496807
2018-04-17,32.79999923706055,33.33000183105469,32.755001068115234,33.0,29.59916877746582,728523
2018-04-18,33.220001220703125,33.650001525878906,33.185001373291016,33.29999923706055,29.868249893188477,530239
2018-04-19,33.46500015258789,33.46500015258789,32.68000030517578,33.040000915527344,29.63504409790039,672840
2018-04-20,33.05500030517578,33.2400016784668,32.619998931884766,32.70000076293945,29.3300838470459,487396
2018-04-23,32.95000076293945,33.0,31.899999618530273,32.02000045776367,28.720163345336914,1011838
2018-04-24,32.119998931884766,32.255001068115234,31.135000228881836,31.540000915527344,28.289630889892578,941859
2018-04-25,31.540000915527344,31.93000030517578,31.100000381469727,31.5,28.253751754760742,827263
2018-04-26,31.674999237060547,31.84000015258789,31.18000030517578,31.600000381469727,28.343446731567383,778434
2018-04-27,32.18000030517578,32.189998626708984,31.600000381469727,31.684999465942383,28.419687271118164,633999
2018-04-30,31.799999237060547,32.345001220703125,31.725000381469727,32.28499984741211,28.957853317260742,760094
2018-05-02,32.27000045776367,33.33000183105469,32.27000045776367,33.15999984741211,29.7426815032959,480172
2018-05-03,32.36000061035156,33.32500076293945,32.0099983215332,33.08000183105469,29.67092514038086,1091177
2018-05-04,33.150001525878906,33.34000015258789,32.779998779296875,33.34000015258789,29.904129028320312,697162
2018-05-07,33.380001068115234,33.439998626708984,33.0,33.099998474121094,29.68886375427246,433042
2018-05-08,33.0,33.314998626708984,32.52000045776367,33.26499938964844,29.836856842041016,798297
2018-05-09,33.28499984741211,33.28499984741211,32.93000030517578,33.0,29.59916877746582,480417
2018-05-10,33.005001068115234,33.220001220703125,32.81999969482422,33.220001220703125,29.796497344970703,359448
2018-05-11,33.20000076293945,33.81999969482422,33.11000061035156,33.599998474121094,30.1373348236084,500270
2018-05-14,33.724998474121094,33.959999084472656,33.33000183105469,33.959999084472656,30.460233688354492,530188
2018-05-15,33.75,34.19499969482422,33.435001373291016,34.19499969482422,30.6710147857666,520757
2018-05-16,34.189998626708984,34.23500061035156,33.6349983215332,33.79999923706055,30.31671905517578,470280
2018-05-17,33.79999923706055,33.80500030517578,33.11000061035156,33.46500015258789,30.016246795654297,516500
2018-05-18,33.55500030517578,34.13999938964844,33.369998931884766,34.13999938964844,30.621686935424805,466777
2018-05-21,34.13999938964844,34.13999938964844,34.13999938964844,34.13999938964844,30.621686935424805,0
2018-05-22,34.20000076293945,34.375,33.88999938964844,34.1150016784668,30.599266052246094,387308
2018-05-23,34.07500076293945,34.099998474121094,33.224998474121094,33.5,30.047639846801758,636623
2018-05-24,33.619998931884766,33.95000076293945,33.369998931884766,33.42499923706055,29.98036766052246,455488
2018-05-25,33.505001068115234,33.775001525878906,33.19499969482422,33.400001525878906,29.957950592041016,510846
2018-05-28,33.685001373291016,33.88999938964844,33.2599983215332,33.69499969482422,30.22254180908203,204418
2018-05-29,33.68000030517578,33.875,33.20000076293945,33.775001525878906,30.294301986694336,650686
